日期,开盘,最高,最低,收盘,成交量(手),成交额(元),涨跌幅%
2026-05-08,52.29371024,54.26854824,51.2470461,51.345788,19725670.0,1046165701.3,-0.5165
2026-05-11,51.78025236,55.23621886,50.92119783,53.7155936,15656649.0,846698710.8,4.6154
2026-05-12,53.7155936,56.07552501,52.9256584,54.06119025,13898831.0,765952654.88,0.6434
2026-05-13,53.320626,59.47224637,53.320626,59.47224637,12547485.0,731478233.13,10.0091
2026-05-14,62.15802605,62.73072907,57.99111787,59.7388495,17602076.0,1067907038.65,0.4483
2026-05-15,59.72897531,61.4174618,58.257721,59.90671073,13002048.0,787577189.11,0.281
2026-05-18,58.257721,61.16073286,56.86546021,59.15627229,12645823.0,759157158.66,-1.2527
2026-05-19,58.57369508,62.1086551,57.9614953,60.7262685,15542425.0,950832183.77,2.654
2026-05-20,60.0350752,64.182235,59.9363333,60.98299744,13893825.0,871511043.24,0.4228
2026-05-21,59.95608168,63.62928036,59.24514,60.24243319,12441784.0,776848871.04,-1.2144
2026-05-22,60.28192995,64.182235,59.57098827,62.78997421,11315976.0,713768499.45,4.2288
2026-05-25,62.7998484,62.8985903,56.50998937,56.50998937,12954033.0,765670266.2,-10.0016
2026-05-26,55.12,57.8,54.39,56.39,12677476.0,710661412.64,-0.2124
2026-05-27,56.81,58.2,54.54,55.6,11958591.0,670863962.32,-1.401
2026-05-28,55.98,56.48,50.37,51.9,15844832.0,830052471.13,-6.6547
2026-05-29,52.93,53.2,48.62,49.18,12137599.0,609639453.77,-5.2408
2026-06-01,49.2,52.65,48.18,50.31,9301925.0,468704688.44,2.2977
2026-06-02,50.05,50.05,47.91,48.8,6237141.0,302993911.99,-3.0014
2026-06-03,48.08,50.51,48.08,49.45,7814515.0,385361791.95,1.332
2026-06-04,49.45,49.69,47.21,47.88,5943145.0,284563057.03,-3.1749
2026-06-05,48.35,49.0,46.55,47.2,4404733.0,208845611.01,-1.4202
2026-06-08,45.02,48.07,45.02,47.04,6143885.0,288944467.97,-0.339
2026-06-09,47.5,47.5,45.64,45.99,4731450.0,218661209.76,-2.2321
2026-06-10,46.21,46.21,44.07,45.84,5951224.0,268341695.96,-0.3262
2026-06-11,45.0,47.33,44.75,46.02,5898815.0,271879729.79,0.3927
