日期,开盘,最高,最低,收盘,成交量,成交额,涨跌幅%
2026-03-17,34.86,35.02,34.0,34.1,2321782.0,80948806.93,-1.9034
2026-03-18,34.09,34.96,33.97,34.85,1563269.0,54585518.66,2.201
2026-03-19,34.41,34.67,34.02,34.15,2075199.0,71954722.05,-1.9836
2026-03-20,34.22,34.66,33.26,33.34,2644183.0,90281320.13,-2.3995
2026-03-23,32.61,33.05,30.2,30.81,5246098.0,167320967.09,-7.5829
2026-03-24,31.15,31.58,30.56,31.25,3222893.0,101198671.96,1.4423
2026-03-25,31.37,34.38,31.37,34.38,4364260.0,147601362.31,10.0158
2026-03-26,35.13,35.13,34.13,34.35,6736809.0,235351281.75,-0.0862
2026-03-27,34.35,34.93,33.87,34.5,4344518.0,151368537.33,0.4312
2026-03-30,34.84,36.69,34.1,36.12,7364630.0,267007466.6,4.6938
2026-03-31,36.31,36.82,35.74,35.74,7271203.0,266571837.06,-1.0388
2026-04-01,36.05,36.29,35.66,36.01,4216763.0,153389765.31,0.7459
2026-04-02,35.71,36.52,35.56,35.93,3799216.0,138505374.73,-0.2194
2026-04-03,36.29,36.29,33.97,34.37,3484491.0,122739689.67,-4.3419
2026-04-07,34.29,34.45,33.19,33.97,4865589.0,166431866.31,-1.1778
2026-04-08,35.1,36.49,34.66,36.32,5499983.0,200120047.47,6.9186
2026-04-09,36.14,36.27,35.45,36.01,3418103.0,124489301.23,-0.8428
2026-04-10,36.44,36.67,35.68,35.68,3302659.0,120823519.81,-0.9323
2026-04-13,35.37,36.53,35.05,35.83,3297341.0,120092758.78,0.4428
2026-04-14,36.23,37.28,35.91,36.52,4908387.0,181685871.23,1.9289
2026-04-15,36.51,36.91,35.71,35.77,4398597.0,161152629.89,-2.0546
2026-04-16,35.91,37.34,35.78,36.86,5212002.0,193878205.96,3.0362
2026-04-17,36.85,38.02,36.25,37.51,6452750.0,243783458.6,1.768
2026-04-20,39.0,41.26,39.0,41.26,7278207.0,301154451.35,10.0026
2026-04-21,40.57,42.04,40.23,40.54,14039116.0,581943150.2,-1.7468
2026-04-22,40.8,42.26,39.58,41.74,12290134.0,513438907.5,2.9469
2026-04-23,41.32,41.75,40.68,40.74,6872812.0,286446185.53,-2.3894
2026-04-24,40.48,40.74,39.56,39.6,5260476.0,212133723.5,-2.8114
2026-04-27,39.28,39.78,38.44,39.58,4992489.0,198549823.62,-0.0499
2026-04-28,39.0,43.54,38.38,43.54,14259639.0,605589442.68,10.005
2026-04-29,45.63,47.89,44.49,47.89,20647367.0,988767383.04,10.0023
2026-04-30,48.15,49.1,45.09,46.47,27573527.0,1309057394.68,-2.9691
2026-05-06,46.9,47.56,45.62,46.92,16394072.0,775993365.16,0.9775
2026-05-07,47.45,51.61,47.09,51.61,15897424.0,803449261.27,9.9958
2026-05-08,52.29,54.27,51.25,51.35,19725670.0,1046165701.3,-0.5165
2026-05-11,51.78,55.24,50.92,53.72,15656649.0,846698710.8,4.6154
2026-05-12,53.72,56.08,52.93,54.06,13898831.0,765952654.88,0.6434
2026-05-13,53.32,59.47,53.32,59.47,12547485.0,731478233.13,10.0091
2026-05-14,62.16,62.73,57.99,59.74,17602076.0,1067907038.65,0.4483
2026-05-15,59.73,61.42,58.26,59.91,13002048.0,787577189.11,0.281
2026-05-18,58.26,61.16,56.87,59.16,12645823.0,759157158.66,-1.2527
2026-05-19,58.57,62.11,57.96,60.73,15542425.0,950832183.77,2.654
2026-05-20,60.04,64.18,59.94,60.98,13893825.0,871511043.24,0.4228
2026-05-21,59.96,63.63,59.25,60.24,12441784.0,776848871.04,-1.2144
2026-05-22,60.28,64.18,59.57,62.79,11315976.0,713768499.45,4.2288
2026-05-25,62.8,62.9,56.51,56.51,12954033.0,765670266.2,-10.0016
2026-05-26,55.12,57.8,54.39,56.39,12677476.0,710661412.64,-0.2124
2026-05-27,56.81,58.2,54.54,55.6,11958591.0,670863962.32,-1.401
2026-05-28,55.98,56.48,50.37,51.9,15844832.0,830052471.13,-6.6547
2026-05-29,52.93,53.2,48.62,49.18,12137599.0,609639453.77,-5.2408
2026-06-01,49.2,52.65,48.18,50.31,9301925.0,468704688.44,2.2977
2026-06-02,50.05,50.05,47.91,48.8,6237141.0,302993911.99,-3.0014
2026-06-03,48.08,50.51,48.08,49.45,7814515.0,385361791.95,1.332
2026-06-04,49.45,49.69,47.21,47.88,5943145.0,284563057.03,-3.1749
2026-06-05,48.35,49.0,46.55,47.2,4404733.0,208845611.01,-1.4202
2026-06-08,45.02,48.07,45.02,47.04,6143885.0,288944467.97,-0.339
2026-06-09,47.5,47.5,45.64,45.99,4731450.0,218661209.76,-2.2321
2026-06-10,46.21,46.21,44.07,45.84,5951224.0,268341695.96,-0.3262
2026-06-11,45.0,47.33,44.75,46.02,5898815.0,271879729.79,0.3927
2026-06-12,46.02,46.59,45.0,45.11,4335057.0,197763775.37,-1.9774
