日期,收盘价,涨跌幅%,净流入(万),大单净额(万),大单占比%,中单净额(万),中单占比%,小单净额(万),小单占比%,5日主力(万),连续流入天数
2026-04-29,48.5,10.0,-31902.23,-24866.14,-25.15,-5447.38,-5.51,-1588.71,-1.61,-20611.54,0
2026-04-30,47.06,-2.97,2008.4,1399.06,1.07,696.25,0.53,-86.91,-0.07,-18707.13,1
2026-05-06,47.52,0.98,-5858.4,504.36,0.65,-3141.83,-4.05,-3220.93,-4.15,-18347.56,2
2026-05-07,52.27,10.0,9968.6,9279.03,11.55,1577.75,1.96,-888.18,-1.11,-9643.08,3
2026-05-08,52.0,-0.52,513.86,1651.25,1.58,-618.42,-0.59,-518.97,-0.5,-12032.44,4
2026-05-11,54.4,4.62,1810.82,497.73,0.59,881.76,1.04,431.33,0.51,13331.43,5
2026-05-12,54.75,0.64,3415.16,2803.18,3.66,-99.81,-0.13,711.79,0.93,14735.55,6
2026-05-13,60.23,10.01,7301.45,6904.17,9.44,-327.89,-0.45,725.17,0.99,21135.36,7
2026-05-14,60.5,0.45,-11288.79,-5404.67,-5.06,-1559.74,-1.46,-4324.38,-4.05,6451.66,0
2026-05-15,60.67,0.28,-9205.3,-4854.83,-6.16,-1894.77,-2.41,-2455.7,-3.12,-54.42,0
2026-05-18,59.91,-1.25,2984.05,4430.36,5.84,-243.16,-0.32,-1203.15,-1.58,3878.21,1
2026-05-19,61.5,2.65,1539.68,337.33,0.35,3188.16,3.35,-1985.81,-2.09,1412.36,2
2026-05-20,61.76,0.42,-224.82,27.72,0.03,75.76,0.09,-328.3,-0.38,-5464.09,3
2026-05-21,61.01,-1.21,3921.16,2931.69,3.77,823.0,1.06,166.47,0.21,2872.27,4
2026-05-22,63.59,4.23,7361.06,5307.51,7.44,618.39,0.87,1435.16,2.01,13034.61,5
2026-05-25,57.23,-10.0,12877.26,5952.89,7.77,3905.05,5.1,3019.32,3.94,14557.14,6
2026-05-26,56.39,-0.21,1141.36,1433.32,2.02,-1939.51,-2.73,1647.55,2.32,15653.13,7
2026-05-27,55.6,-1.4,3614.46,3699.3,5.51,-1115.0,-1.66,1030.16,1.54,19324.71,8
2026-05-28,51.9,-6.65,5915.08,1738.65,2.09,-2404.3,-2.9,6580.73,7.93,18131.67,9
2026-05-29,49.18,-5.24,2716.75,3460.98,5.68,-3658.35,-6.0,2914.12,4.78,16285.14,10
2026-06-01,50.31,2.3,3902.07,1042.34,2.22,1489.36,3.18,1370.37,2.92,11374.59,11
2026-06-02,48.8,-3.0,2424.62,1078.27,3.56,493.34,1.63,853.01,2.82,11019.54,12
2026-06-03,49.45,1.33,7519.57,8153.72,21.16,-67.64,-0.18,-566.51,-1.47,15473.96,13
2026-06-04,47.88,-3.17,-219.44,363.56,1.28,-1265.07,-4.45,682.07,2.4,14098.87,14
2026-06-05,47.2,-1.42,-357.71,-231.22,-1.11,488.32,2.34,-614.81,-2.94,10406.67,0
2026-06-08,47.04,-0.34,822.66,772.79,2.67,377.73,1.31,-327.86,-1.13,10137.12,1
2026-06-09,45.99,-2.23,447.23,606.78,2.77,-317.74,-1.45,158.19,0.72,9665.63,2
2026-06-10,45.84,-0.33,2265.93,1128.18,4.2,-375.11,-1.4,1512.86,5.64,2640.09,3
2026-06-11,46.02,0.39,-2372.28,972.37,3.58,-1024.6,-3.77,-2320.05,-8.53,3248.9,4
2026-06-12,45.11,-1.98,-214.98,340.28,1.72,593.52,3.0,-1148.78,-5.81,3820.4,5
